Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
"Broadwind Energy, Inc. ",Nasdaq,BWEN,2016,fy2016,1,,Street Sweeper,"Broadwind Energy, Inc.",IQ25537309,Heavy Electrical Equipment,NasdaqCM:BWEN,18.699,180.84,0.319,3.171,162.701,6.914,21.87,162.701,0,11.865,18.139,0.753,11.865,15.786,0.731,21.159,0,-2.141,58.19,0,3.06,139.969,0.444,0.989,54.606,1.909,8.057,0,-0.625,0,4.572,1.333,0,117.662,0,18.031,15.852,1.333,-6.624,0,-0.002,0.452,0,1.335,0,0.465,-1.016,0,43.251,0,0,2.6,0.319,3.008,1.038,0,-2.549,0,0,0,49.079,0.319,0,0,1.335,0,0.015,0.02149,0,-308.466,0.08994,-3.338,-1.842,14.843,-3.338,68.583,0.02149,0.019,68.583,0.08994,0,117.662,15.081,0,0.05613,0,0.05524,43158,42735,8.823,0,14.90183,8.823,-3.261,14.90183,12.219,(Invalid Formula Name),1.909,4.60232,11.819,64.011,2.996,0.494,4.29551,0.83313,0.023,4.103,0,-3.338,0.465,NM,14.7915,3.638,0,15.21213,-17.767,0.673,-12.976,72.686,-0.002,2.199,600,0
"Cal-Maine Foods, Inc. ",Nasdaq,CALM,2016,fy2016,1,,Newbrook Capital Advisors,"Cal-Maine Foods, Inc.",IQ358944,Packaged Foods and Meats,NasdaqGS:CALM,29.046,1908.65,316.041,360.499,1260.576,44.592,389.545,1260.576,0,62.012,648.074,3.071,79.278,177.76,0,154.799,0,21.16,626.283,0,-8.539,822.645,0,-8.508,392.274,470.314,0,53.975,10.088,0,34.154,485.665,0,1111.765,1.584,388.437,36.262,487.249,-76.125,0,169.202,2.86,16.32,318.047,0,0,0,0,83.451,0,0,9.25,316.041,-151.31,0,0,-219.148,2.086,0,0,194.404,316.041,0,0,316.041,0,0.751,6.55755,0,890.44,6.55755,-25.29,-22.272,48.195,-25.29,915.275,6.53,0,917.361,6.53,-1.847,1111.765,48.365,0,6.25655,0,6.23456,43304,42518,514.906,-120.942,43.737,519.922,-148.91,48.53496,20.379,(Invalid Formula Name),470.314,18.85726,518.996,881.121,4.09,1.067,18.15359,301.53463,166.84,25.57,0,-25.29,16.32,34.7259,254.00975,9.25,38.2678,254.73225,-363.975,0,10.752,942.931,149.81,438.781,3143,19.392
Caterpillar Inc. ,NYSE,CAT,2016,fy2016,1,,Greenlight Capital,Caterpillar Inc.,IQ259378,Construction Machinery and Heavy Trucks,NYSE:CAT,5257,38537,-67,0,30402,3034,5257,28044,595,5919,8135,0,5919,4476,0,8614,1853,829,31967,0,1109,31940,0,-200,15322,1884,0,249,-429,0,8369,1429,0,74704,-1296,5639,4614,133,-2928,209,192,899,507,-59,-92,0,0,0,26132,0,0,8368,-67,204,68,0,-1780,76,-757,140,61491,-67,5115,0,-67,5255,5277,-0.11467,0,27377,-0.11467,-6568,-17478,584.3,-6568,13137,-0.11467,0,13213,-0.11467,0,74704,584.3,0,1.51485,0,1.51485,43510,42735,4918,-1799,586.48602,4912,-3143,586.48602,688,(Invalid Formula Name),1884,22.39951,5293,4768,375,1075,8.12978,885.125,522,36784,0,-1313,13966,144.3609,2345.125,22818,NM,2659.5,31527,0,-1158,49997,623,1990,95400,-431
Commonwealth Bank of Australia,Australia,CBA-AU,2016,fy2016,0,,Lakewood Capital,Commonwealth Bank of Australia,IQ874262,Diversified Banks,ASX:CBA,14447,22361,9223,20309,0,477,115390,0,1,0,22361,0,1377,8836,0,0,0,-148,120977,0,0,6569,0,0,3940,12783,0,83717,0,486,10384,12404,-96,933001,-39,-42344,576616,12365,-1259,86078,3400,405,35426,8965,-857,0,278,110,713572,0,-509,142988,9223,0,0,50,-2032,550,0,0,872437,9173,102907,0,8895,102907,34129,5.42139,0,24374,5.25709,-99418,-284,1692,-99418,60014,5.28967,5072,60564,5.13269,-1047,933001,1771,0,4.57004,0,4.36618,43319,42551,NA,-5827,1711.06174,0,39403,1711.06174,-4823,(Invalid Formula Name),NA,35.07413,NA,49630,850,16285,29.00538,7732.5,3071,264492,0,3489,121504,27.4969,0,142988,63.179,0,149102,584,0,0,3292,0,45129,108
Chemours Company,NYSE,CC,2016,fy2016,0,,Citron Research,The Chemours Company,IQ249061912,Diversified Chemicals,NYSE:CC,902,5400,7,0,4297,284,902,4297,0,742,1103,0,807,631,0,767,81,5,2553,0,147,7997,0,332,2784,391,0,136,-219,0,170,234,0,6060,-245,594,884,-11,-338,0,-18,708,15,7,0,0,0,0,1771,0,0,3529,7,-1,0,0,357,4,-51,0,5956,7,0,0,7,0,2,0.03854,0,-114,0.03854,-381,0,181.62142,-381,100,0.03854,11,104,0.03854,0,6060,183.4165,0,0.80525,0,0.79737,43511,42735,675,-22,182.60053,704,-396,183.15322,536,(Invalid Formula Name),391,0.54764,743,-70,68,208,-0.38335,146.25,50,3544,0,-381,15,NM,701.5,3529,314.2857,822.375,2642,0,-613,3648,93,337,7000,-111
"Coeur Mining, Inc. ",NYSE,CDE,2016,fy2016,1,,Street Sweeper,"Coeur Mining, Inc.",IQ262033,Silver,NYSE:CDE,118.312,571.897,55.352,0,349.786,130.116,118.312,349.786,0,5.973,222.111,9.715,53.415,29.275,29.356,157.603,0,-2.783,410.787,0,-34.61,2037.061,116.528,-3.11,743.713,47.351,0,4.488,-36.896,0,0,-0.078,0,1318.909,-10.734,125.817,44.66,-10.812,-94.382,0,-33.247,16.296,0,22.435,-1.417,11.955,32.917,0,116.634,0,0,175.991,55.352,6.899,22.691,0,-77.479,0,0,0,550.422,55.352,0,0,22.435,0,1.809,0.34627,0,-2545.424,0.14035,-318.153,0,159.853,-318.153,768.487,0.34138,269.556,768.487,0.14,0,1318.909,163.459,0,-0.0003,0,-0.0003,43516,42735,177.467,0,180.93329,177.467,-80.228,181.05585,-34.144,(Invalid Formula Name),47.351,4.24735,194.267,768.487,16.8,41.919,4.24735,-0.04875,17.181,210.637,0,-318.153,11.955,NM,-19.48763,198.682,0,3.57238,92.325,37.178,71.471,979.124,13.236,83.085,2087,-53.561
Chromadex Corporation,Nasdaq,CDXC,2016,fy2016,1,,Bleecker Street Research,ChromaDex Corporation,IQ5034211,Life Sciences Tools and Services,NasdaqCM:CDXC,1.64243,21.66465,-2.92819,0,11.27411,0.41956,1.64243,11.27411,0,5.85203,10.39053,1.19378,5.85203,10.67298,0,7.91263,2.52277,-4.11456,15.73694,0,0.24085,3.09517,0,-0.24567,1.77817,-2.80521,0.11701,0.02032,-0.33329,0,0.48623,-3.1385,0,19.75207,-0.4131,-2.9366,5.97829,-3.5516,-1.50492,0,0,0,0,-3.5516,0,0.25546,0.62341,0,8.86915,0,-0.22,0,-2.92819,0,0.34359,0,-1.72492,0,0,0,9.77771,-2.92819,0,0,-3.5516,0,0.03755,-0.07852,0,-45.22357,-0.09523,-5.22188,0,37.29432,-5.22188,9.97436,-0.07852,6.43409,9.97436,-0.09523,0,19.75207,37.29432,0,-0.0526,0,-0.0526,43174,42735,-2.38565,0,37.90453,-2.38565,0.75428,37.90453,-3.90724,(Invalid Formula Name),-2.80521,0.26314,-1.77965,9.48813,0.606,0.26174,0.25032,-1.96156,0,0.59905,0,-5.22188,0.25546,0,-4.39436,0.34359,0,-4.18606,-1.04338,0.048,2.32122,10.57341,0,-3.89057,84,0
Cadiz Inc. ,Nasdaq,CDZI,2016,fy2016,1,,Cable Car Capital,Cadiz Inc.,IQ294780,Water Utilities,NasdaqGM:CDZI,12.172,0.412,-26.339,0,0,0.292,12.172,0,0,0.039,0.412,1.296,0.039,9.33,0,0,0,0.148,15.602,0.292,0,50.133,0,0.13,44.182,-9.21,0,0,-14.875,0,3.813,-24.085,0,67.099,-2.25,-9.514,0.439,-26.335,0,0,0.004,0,0.17,-26.339,0,0,0,0,4.562,0,0,102.374,-26.339,0,12.287,0,0,0,0,0,121.416,-26.339,20,0,-26.339,20,0.218,-1.40707,0,-409.871,-1.40707,-10.554,0,18.719,-10.554,-54.317,-1.40707,10.51,-54.317,-1.40707,0,67.099,18.719,0,-0.80416,0,-0.80416,43173,42735,-8.918,0,21.76886,-8.918,18.996,21.76886,9.482,(Invalid Formula Name),-9.21,-2.49517,-8.646,-58.13,0.272,0,-2.67033,-15.05313,0.004,114.831,0,9.446,0.17,NM,-10.00413,114.661,0,-4.68425,102.659,14.875,0.516,60.514,0,-8.918,9,0
Career Education Corporation,Nasdaq,CECO,2016,fy2016,1,,Richard Pearson,Career Education Corporation,IQ377135,Education Services,NasdaqGS:CECO,49.507,704.392,-18.712,147.681,100.274,22.747,197.188,100.274,1.164,22.825,604.118,3.237,23.754,548.2,0,1.868,0,6.925,248.193,22.747,2.783,421.927,0,-16.264,40.512,33.171,-11.747,0,0.678,0,95.856,34.149,0,559.601,-65.515,6.475,10.099,-31.366,-4.129,0,-16.55,3.6,0,-14.816,0,0,-3.896,-0.062,169.212,0,0,0,-18.712,-33.76,0,0,-34.351,0,-32.351,0,238.098,-18.712,0,0,-14.816,0,0.835,-0.27368,-38,-76.23,-0.21669,0,-216.169,68.373,-38,321.503,-0.27698,0.773,321.503,-0.22,-0.563,559.601,68.373,0,0.31216,0,0.31216,43516,42735,55.918,0,68.51901,55.018,-37.79,68.535,-65.858,(Invalid Formula Name),33.171,4.69217,158.393,225.647,102.475,0.153,3.2932,21.34313,0.334,0,0,-38,0,NM,112.76688,0,0,113.13188,-197.188,0.584,-70.545,321.503,0.704,51.789,2591,-17.254
"ConforMIS, Inc. ",Nasdaq,CFMS,2016,fy2016,1,,SkyTides,"Conformis, Inc.",IQ22001832,Health Care Equipment,NasdaqGS:CFMS,37.257,79.899,-57.588,28.242,53.192,3.153,65.499,53.192,0.123,14.675,26.707,5.324,14.675,66.243,0,11.72,16.608,0.004,95.848,0,-0.2,25.386,0,1.437,15.084,-56.144,-0.305,0,0.349,0,1.499,-57.21,0,112.81,-0.315,-49.132,5.474,-57.525,-7.161,0,0.063,0,0,-57.588,0,0,0,0,14.271,0,0,0,-57.588,-28.564,0,0,-35.425,0,0,0,18.755,-57.588,0,0,-57.588,0,0,-1.38694,0,-382.93,-1.38694,-0.485,0,41.52163,-0.485,94.055,-1.39,4.087,94.055,-1.39,0,112.81,41.52163,0,-0.86115,0,-0.86115,43168,42735,-52.991,0,43.39955,-52.991,3.602,43.39955,-79.928,(Invalid Formula Name),-56.144,2.16719,-51.491,92.556,1.5,0.048,2.13265,-35.75625,0.052,0,0,-0.485,0,NM,-33.92725,0,0,-33.848,-65.499,0.138,0.074,94.055,0.063,-60.152,383,0
"Celadon Group, Inc. ",NYSE,CGI,2016,fy2016,1,,Jay Yoon,"Celadon Group, Inc.",IQ26233,Trucking,OTCPK:CGIP,9.077,1065.356,24.844,0,880.037,79.606,9.077,880.037,0,134.572,185.319,2.855,135.045,55.235,0,0,0,0.165,255.608,79.555,0,888.173,0,-13.076,736.033,29.811,0,2.253,-13.794,17.589,62.451,16.013,0,1103.29,22.395,-5.211,26.499,38.408,-87.597,0,13.564,143.688,0,24.844,-18.264,51.397,0,0,191.495,0,0,152.032,24.844,-2,247.383,0,35.827,0,0,0,722.275,24.844,854.73,0,24.844,854.73,0.948,0.90319,0,218.056,0.90319,-898.997,-3.453,27.507,-898.997,381.015,0.88,0.051,381.015,0.88,0,1103.29,28.081,0,0.36384,0,0.3564,42626,42551,109.417,-2.2,27.61335,109.67,-46.416,27.61335,-15.622,(Invalid Formula Name),29.811,13.79822,135.639,318.564,26.222,13.794,11.5366,10.00813,0.259,450.812,0,-44.267,51.397,35.3155,48.27463,399.415,8.8552,56.89588,441.735,13.794,-43.4,831.827,5.305,21.82,5979,8.259
"Chegg, Inc. ",NYSE,CHGG,2016,fy2016,1,,Copperfield Research,"Chegg, Inc.",IQ27918871,Education Services,NYSE:CHGG,77.329,254.09,-42.245,0,118.511,23.787,77.329,118.511,1.09,10.451,135.579,41.785,29.21,108.221,0,0,66.331,-0.127,111.373,0,0,92.792,0,-0.728,37.88,-38.973,-0.272,0,-0.068,0,136.987,-39.041,0,290.652,-1.497,24.262,5.175,-40.538,-25.575,0,1.707,25.646,0,-42.245,-27.055,0,0,0,64.33,0,0,0,-42.245,21.021,0,0,-5.963,0,-1.077,0,68.713,-42.245,0,0,-42.245,0,0.092,-0.46662,0,-371.328,-0.46662,0,0,90.534,0,221.939,-0.46662,2.104,221.939,-0.46662,-10.779,290.652,90.534,0,-0.26952,0,-0.26952,43521,42735,-15.186,0,91.70884,-15.186,-8.675,91.83071,9.624,(Invalid Formula Name),-38.973,2.42004,-13.286,84.952,1.9,0.05,0.92632,-24.40063,1.094,0,0,0,0,NM,37.818,0,0,37.92488,-77.329,0,-22.181,221.939,1.262,-40.761,766,0.445
Core Laboratories N.V. ,NYSE,CLB,2016,fy2016,1,,Lakewood Capital,Core Laboratories N.V.,IQ341021,Oil and Gas Equipment and Services,NYSE:CLB,14.764,590.232,63.895,0,437.503,26.288,14.764,437.503,0,114.329,152.729,22.079,120.755,38.785,-0.581,33.72,0,31.584,186.461,25.445,6.219,379.147,0.843,-1.036,129.882,88.103,1.589,3.224,-11.572,0,188.98,75.261,0,573.052,0.618,131.887,33.72,75.879,-11.356,0,10.855,0.74,0,65.024,-1.242,0,-1.165,0,104.023,0,-0.348,217.534,63.895,0,0,0,-14.721,3.943,0,0,417.755,63.895,99,0,65.06,99,1.148,1.46956,0,187.957,1.49635,-316.244,-80.773,43.479,-316.244,151.354,1.46332,197.202,155.297,1.49,-7.161,573.052,43.67,0,1.08269,0,1.07795,43507,42735,114.391,-95.145,44.15126,114.897,-124.896,44.15214,-7.73,(Invalid Formula Name),88.103,3.42808,134.691,-37.626,20.3,11.248,-0.85221,47.07413,12.181,217.534,0,-217.244,0,14.3056,112.11588,217.534,148.9083,119.34838,202.77,0,-27.621,372.831,14.771,103.035,4400,-3.916
"Continental Resources, Inc. ",NYSE,CLR,2016,fy2016,1,,Livermore Partners,"Continental Resources, Inc.",IQ1534795,Oil and Gas Exploration and Production,NYSE:CLR,16.643,1909.744,-399.679,0,300.675,1946.859,16.643,300.675,0,769.699,1609.069,48.098,769.699,169.58,0,111.987,0,-158.383,913.233,1708.744,-17.836,20533.745,0,-14.404,12881.227,-592.023,0,0,-320.562,0,0,-910.888,0,13811.776,278.434,1125.919,476.342,-632.454,-1164.514,0,-232.775,631.549,2.219,-399.679,0,0,0,0,932.393,0,0,6577.697,-399.679,0,0,0,-532.965,0,0,0,9509.78,-399.679,1691,0,-399.679,1691,3.745,-1.07911,0,2923.221,-1.07911,-2241.144,0,370.38,-2241.144,4301.996,-1.08,0,4301.996,-1.08,-8.593,13811.776,370.38,0,-1.53708,0,-1.53708,43515,42735,1354.836,0,370.57872,1354.836,-587.773,370.57872,5.18,(Invalid Formula Name),-592.023,11.60886,0,4301.996,0,316.116,11.60886,-569.305,-0.172,6579.916,0,-550.144,2.219,NM,183.65338,6577.697,0,384.00463,6563.273,0,76.424,10881.912,-22.939,190.322,1080,-209.836
"Clearside Biomedical, Inc. ",Nasdaq,CLSD,2016,fy2016,1,,Cliffside Research,"Clearside Biomedical, Inc.",IQ145617165,Pharmaceuticals,NasdaqGM:CLSD,34.824,0.52,-25.882,48.807,0,0.065,83.631,0,0,0,0.52,1.314,0,6.263,0,0,19.455,0,84.317,0,0,0.262,0,1.424,0.094,-25.198,-0.52,0,-0.587,0,0,-25.882,0,84.813,0,-22.709,2.594,-25.882,-0.003,0,0,0,0,-25.882,0,0,0,0,5.408,0,0,7.586,-25.882,-48.777,0,0,-49.14,0,0,0,13.154,-25.882,7.857,0,-25.882,7.857,0.025,-1.97406,0,-65.245,-1.97406,-6.33,0,13.11107,-6.33,71.659,-1.97406,84.863,71.659,-1.97406,0,84.813,13.11107,0,-1.23379,0,-1.23379,43175,42735,-25.133,0,24.57303,-25.133,86.39,24.57303,14.541,(Invalid Formula Name),-25.198,2.91616,-25.052,71.659,0.081,0.25,2.91616,-16.17625,0,7.586,0,1.527,0,0,-13.17363,7.586,0,-12.91475,-76.045,0.287,-1.458,79.245,0,-25.136,24,0
Cheetah Mobile Inc. ,NYSE,CMCM (ADR),2016,fy2016,1,,Alecto Research,Cheetah Mobile Inc.,IQ253748612,Application Software,NYSE:CMCM,1411,4564.65,-80.525,361.499,1405.712,163.358,1772.499,1405.712,2.889,645.163,3158.938,306.149,928.376,2212.415,0,0.999,905.854,26.067,3172.246,0,0,219.788,0,50.231,117.439,-9.559,0,977.157,7.783,-14.752,1171.173,49.647,0,5541.134,-118.543,397.551,194.882,-68.896,-74.161,0,-12.189,0.06,379.544,-56.707,-326.168,0,0,8.184,2066.221,0,-43.53,118.797,-80.525,-544.889,0,0,-982.803,188.826,0,0,2339.956,-80.525,332.078,0,-80.525,332.078,0.23,-0.58046,0,237.293,-0.58046,-8.873,-178.991,138.72546,-8.873,3012.352,-0.58046,37.329,3201.178,-0.58046,-178.991,5541.134,138.72546,0,0.05198,0,0.05198,43214,42735,153.799,0,0,142.436,103.475,138.42497,-432.233,(Invalid Formula Name),-9.559,21.76162,590.204,1841.179,436.405,7.306,13.30092,7.21138,67.962,498.341,0,323.205,379.544,NM,257.95963,118.797,0,257.95963,-1274.158,0,87.882,3699.519,41.243,79.638,2831,-53.432
"Copart, Inc. ",Nasdaq,CPRT,2016,fy2016,1,,Street Sweeper,"Copart, Inc.",IQ27023,Diversified Support Services,NasdaqGS:CPRT,155.849,1268.449,270.36,0,699.163,40.075,155.849,699.163,0,82.335,569.286,20.864,102.197,162.816,0,10.388,0,-54.213,499.306,0,-2.509,1182.902,0,48.347,788.265,406.47,0.983,0,-22.157,-9.861,300.485,395.411,0,1649.82,0.454,332.498,76.953,395.865,-173.917,0,125.505,0.662,76.151,270.36,0,0,0,0,278.783,0,0,564.341,270.36,0.379,0,0,-172.876,0,0,0,875.364,270.36,331.468,0,270.36,331.468,0.022,1.18141,0,491.194,1.18141,-337.5,0,228.846,-337.5,774.456,1.11,16.609,774.456,1.11,-457.894,1649.82,244.295,0,1.0799,0,1.01161,43374,42582,446.545,0,220.24412,445.65,-448.496,228.3224,-300.163,(Invalid Formula Name),406.47,3.51635,471.245,473.971,24.7,23.606,2.15203,247.13188,127.981,640.492,0,-6.032,76.151,31.7039,114.17,564.341,0,127.85575,484.643,23.606,21.71,1414.948,119.329,272.628,4844,6.176
Criteo S.A. ,Nasdaq,CRTO (ADR),2016,fy2016,1,,Friendly Bear,Criteo S.A.,IQ111853347,Advertising,NasdaqGS:CRTO,270.317,1799.146,82.272,0,1154.171,56.779,270.317,1154.171,0,397.244,644.975,43.259,456.19,409.293,0,0,111.672,-117.97,742.584,0,0,215.892,0,81.862,108.581,124.01,0,17.029,0.218,0,312.362,123.464,0,1211.186,-3.006,153.469,365.788,120.458,-85.133,0,33.129,0,7.969,87.329,-235.541,0,0,0,519.791,0,0,77.611,82.272,0.159,0,0,-312.763,9.745,-2.921,0,601.309,82.272,84.022,0,82.272,84.022,2.093,1.29894,0,198.355,1.29894,-12.227,0,63.33779,-12.227,600.132,1.25,20.075,609.877,1.25,0,1211.186,65.63347,0,1.13847,0,1.09865,43525,42735,180.789,0,63.9782,180.789,90.57,63.99,-83.22,(Invalid Formula Name),124.01,9.38026,273.19,287.77,92.401,1.3,4.49794,72.108,43.522,85.58,0,71.795,7.969,27.5025,90.4505,77.611,0,91.15925,-184.737,2.404,1.252,695.457,43.153,95.656,2503,-10.024
Control4 Corporation,Nasdaq,CTRL,2016,fy2016,1,,Cannell Capital,Control4 Corporation,IQ8419675,Electronic Equipment and Instruments,NasdaqGS:CTRL,34.813,208.13,12.298,22.97,102.961,7.916,57.783,102.961,0,24.727,105.169,8.37,24.727,61.218,0,26.231,35.985,-3.765,112.65,0,-1.589,19.165,0,-0.032,6.463,7.966,1.362,4.008,0.045,0,39.929,7.424,0,165.058,-3.926,18.078,17.01,3.498,-2.682,0,-8.8,0,0,12.298,-32.891,0,0,0,27.475,0,0,0,12.298,23.876,0,0,-11.697,0,-2.162,5,28.176,12.298,0,0,12.298,5,0.002,0.52551,-5,-82.626,0.52551,-0.913,0,23.402,-5.913,136.882,0.5,3.437,136.882,0.5,-3.242,165.058,24.36,0,0.19827,0,0.19048,43507,42735,15.882,0,23.72978,15.882,-0.807,23.93286,5.234,(Invalid Formula Name),7.966,5.76836,18.382,96.953,2.5,0.204,4.08571,4.64,1.115,0,0,-0.913,0,NM,11.93875,0,0,11.93875,-57.783,0,6.644,136.882,1.154,13.2,546,-9.954
"Covenant Transportation Group, Inc. ",Nasdaq,CVTI,2016,fy2016,1,,Cliffside Research,"Covenant Transportation Group, Inc.",IQ336548,Trucking,NasdaqGS:CVTI,7.75,670.651,16.835,0,507.027,71.647,7.75,507.027,0,96.636,163.624,1.378,100.892,47.009,0,3.98,0,21.207,134.963,72.456,0.024,631.076,0,-5.116,465.471,32.447,0,18.526,-8.226,0,0,27.221,0,620.538,0,102.43,13.032,27.221,-112.794,0,10.386,65.507,24.947,16.835,0,2.441,0,0,87.781,0,0,168.676,16.835,0,19.761,0,-47.287,0,0,0,384.124,16.835,1093.41,0,16.835,1093.41,0.194,0.92592,-4.509,102.032,0.92592,-1139.566,-1.084,18.182,-1144.075,236.414,0.92,0.032,236.414,0.92,-1.142,620.538,18.266,0,0.93571,0,0.93141,43159,42735,104.094,0,0,107.094,-51.883,18.24922,3.26,(Invalid Formula Name),32.447,12.95474,115.829,236.414,11.735,8.453,12.95474,17.01313,6.412,215.825,0,-50.665,27.388,38.1543,-5.58488,188.437,0,-0.73663,208.075,0,-18.731,452.239,13.762,-8.7,4400,-3.376
Concordia International Corp. ,Nasdaq,CXRX,2016,fy2016,1,,Lambda Research,ADVANZ PHARMA Corp.,IQ248858755,Pharmaceuticals,TSX:ADVZ,397.917,816.159,-1315.694,0,199.79,184.758,397.917,199.79,1132.243,182.492,616.369,30.753,207.353,107.588,3.789,92.807,40.637,12.392,714.024,1.939,-9.893,0,182.819,-1.38,5.366,252.633,0,0,-279.019,0,2987.65,-153.954,0,3731.574,-1194.94,408.29,35.021,-1348.894,-1.881,0,-34.801,0,76.492,-1314.093,-30.677,0,-1.601,0,423.059,0,0,3497.139,-1315.694,0,0,0,-31.592,0,-57.38,0,4109.147,-1315.694,350,0,-1314.093,350,1277.175,-7736.00903,0,-1360.873,-7726.59548,-18.193,0,0.17007,-18.193,-377.573,-7737.49085,0.084,-377.573,-7728.0773,0,3731.574,0.17007,0,-565.76108,0,-565.76108,43167,42735,437.391,-11.477,0.1703,437.391,-94.765,0.1703,242.469,(Invalid Formula Name),252.633,-2217.14417,440.1,-3365.223,2.709,251.734,-19760.90595,-96.22125,20.283,3573.631,0,331.807,76.492,NM,80.23838,3497.139,NM,238.10563,3175.714,280.353,133.42,3196.058,36.846,435.51,516,-71.647
Concordia International Corp. ,Nasdaq,CXRX,2016,fy2016,1,,Krensavage Asset Management,ADVANZ PHARMA Corp.,IQ248858755,Pharmaceuticals,TSX:ADVZ,397.917,816.159,-1315.694,0,199.79,184.758,397.917,199.79,1132.243,182.492,616.369,30.753,207.353,107.588,3.789,92.807,40.637,12.392,714.024,1.939,-9.893,0,182.819,-1.38,5.366,252.633,0,0,-279.019,0,2987.65,-153.954,0,3731.574,-1194.94,408.29,35.021,-1348.894,-1.881,0,-34.801,0,76.492,-1314.093,-30.677,0,-1.601,0,423.059,0,0,3497.139,-1315.694,0,0,0,-31.592,0,-57.38,0,4109.147,-1315.694,350,0,-1314.093,350,1277.175,-7736.00903,0,-1360.873,-7726.59548,-18.193,0,0.17007,-18.193,-377.573,-7737.49085,0.084,-377.573,-7728.0773,0,3731.574,0.17007,0,-565.76108,0,-565.76108,43167,42735,437.391,-11.477,0.1703,437.391,-94.765,0.1703,242.469,(Invalid Formula Name),252.633,-2217.14417,440.1,-3365.223,2.709,251.734,-19760.90595,-96.22125,20.283,3573.631,0,331.807,76.492,NM,80.23838,3497.139,NM,238.10563,3175.714,280.353,133.42,3196.058,36.846,435.51,516,-71.647
Dean Foods Company,NYSE,DF,2016,fy2016,1,,Lakewood Capital,Dean Foods Company,IQ34883,Packaged Foods and Meats,NYSE:DF,17.98,7710.226,119.929,0,5722.112,178.385,17.98,5722.112,1.265,669.2,1988.114,29.83,674.778,1677.844,0.688,284.484,0,-0.462,1058.63,0,-19.434,2876.092,20.752,-65.165,1163.851,289.518,0,0,-66.795,2.241,326.03,227.57,0,2606.227,-24.919,257.413,416.847,202.651,-144.642,0,82.034,14.705,140.806,120.617,-158.203,0,-0.688,0,847.787,0,0,745.245,119.929,0,0,0,-288.14,0,-13.319,0,1995.671,119.929,1199.3,0,120.617,1199.3,0.906,1.31886,0,45.654,1.32643,-1151.432,0,90.93389,-1151.432,610.556,1.31248,0,610.556,1.32,-25.72,2606.227,91.51048,0,1.56412,0,1.55426,43524,42735,467.903,-32.828,90.58674,467.903,-9.934,90.75921,-42.754,(Invalid Formula Name),289.518,6.74002,595.203,284.526,127.3,60.58,3.14092,142.23125,50.63,886.051,0,47.868,140.806,40.4804,125.53288,745.245,27.3728,167.27975,868.071,66.795,77.242,1496.607,56.136,323.261,17000,25.898
